Date,Open,High,Low,Close,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
2020-12-31,1243.0,1258.4000244140625,1239.0,1255.800048828125,7430470
2021-01-01,1257.9000244140625,1265.5,1255.800048828125,1260.449951171875,4253550
2021-01-04,1269.0,1290.0,1261.1500244140625,1288.25,7208454
2021-01-05,1282.0,1299.0,1275.050048828125,1293.800048828125,8145280
2021-01-06,1300.0,1302.0,1268.050048828125,1282.0999755859375,7161715
2021-01-07,1296.0,1297.6500244140625,1255.5,1262.1500244140625,10954918
2021-01-08,1278.25,1316.800048828125,1278.25,1312.0999755859375,13186251
2021-01-11,1342.0999755859375,1383.3499755859375,1340.0,1376.199951171875,20528626
2021-01-12,1378.0,1378.0,1360.0,1371.75,8309868
2021-01-13,1373.8499755859375,1392.800048828125,1360.0,1387.1500244140625,14442997
2021-01-14,1360.0,1384.0,1318.449951171875,1370.5,27521697
2021-01-15,1360.0,1364.449951171875,1340.0,1344.949951171875,15018441
2021-01-18,1338.0,1340.0,1306.0,1312.050048828125,8861765
2021-01-19,1320.0,1331.0,1312.0,1316.6500244140625,5585744
2021-01-20,1320.550048828125,1348.4000244140625,1320.550048828125,1339.449951171875,8225838
2021-01-21,1350.0,1361.050048828125,1335.0,1339.699951171875,6142421
2021-01-22,1327.0,1356.0,1326.550048828125,1340.8499755859375,9646591
2021-01-25,1345.0,1347.9000244140625,1313.0,1325.0999755859375,6542611
2021-01-27,1319.5999755859375,1327.550048828125,1285.0999755859375,1301.0,8133665
2021-01-28,1291.800048828125,1296.449951171875,1272.550048828125,1276.199951171875,4660690
2021-01-29,1286.25,1291.1500244140625,1231.0,1239.050048828125,12183519
2021-02-01,1250.550048828125,1277.949951171875,1241.0,1260.9000244140625,8880279
2021-02-02,1280.0,1294.4000244140625,1263.5999755859375,1271.25,6892490
2021-02-03,1277.6500244140625,1304.0,1273.0,1284.6500244140625,8182968
2021-02-04,1285.0,1293.4000244140625,1272.050048828125,1279.3499755859375,5032240
2021-02-05,1286.4000244140625,1288.75,1262.0,1272.0999755859375,5477481
2021-02-08,1285.5,1310.0,1275.5,1303.550048828125,6921922
2021-02-09,1306.9000244140625,1332.0,1297.8499755859375,1305.550048828125,7965949
2021-02-10,1295.800048828125,1304.3499755859375,1283.5999755859375,1296.5,5951207
2021-02-11,1289.0,1296.0,1283.050048828125,1292.6500244140625,4673317
2021-02-12,1305.0,1323.75,1301.550048828125,1309.800048828125,5797875
2021-02-15,1320.0,1328.4000244140625,1307.0999755859375,1309.6500244140625,4363513
2021-02-16,1314.0,1319.75,1286.0,1290.4000244140625,6896421
2021-02-17,1290.4000244140625,1294.5,1275.0,1281.300048828125,4575741
2021-02-18,1276.0,1306.0,1275.0,1292.449951171875,6437551
2021-02-19,1296.0999755859375,1299.5,1276.800048828125,1291.300048828125,5389696
2021-02-22,1295.0,1308.550048828125,1260.0,1265.199951171875,7371303
2021-02-23,1271.1500244140625,1291.0,1257.550048828125,1266.3499755859375,6612942
2021-02-24,1260.050048828125,1276.5999755859375,1252.0,1274.300048828125,4537258
2021-02-25,1288.449951171875,1299.75,1272.0,1274.550048828125,8788221
2021-02-26,1269.0,1274.300048828125,1244.75,1253.300048828125,15132388
2021-03-01,1263.300048828125,1284.5,1259.0,1267.0,5756286
2021-03-02,1282.25,1310.0,1279.199951171875,1304.5,10461434
2021-03-03,1319.199951171875,1347.0,1308.0,1343.550048828125,9056399
2021-03-04,1335.0,1363.8499755859375,1325.9000244140625,1330.3499755859375,12041941
2021-03-05,1328.5,1340.0,1305.050048828125,1316.699951171875,6486176
2021-03-08,1324.800048828125,1346.0999755859375,1317.199951171875,1335.75,5119392
2021-03-09,1329.5,1350.449951171875,1318.75,1345.550048828125,6518173
2021-03-10,1356.9000244140625,1374.0,1355.0,1368.1500244140625,7925984
2021-03-12,1373.0,1391.699951171875,1370.050048828125,1374.8499755859375,9462061
2021-03-15,1370.0,1379.9000244140625,1358.5,1373.5999755859375,6658635
2021-03-16,1386.050048828125,1406.0,1380.5,1384.0,9352771
2021-03-17,1392.25,1400.0,1382.0,1387.0,7626744
2021-03-18,1393.75,1393.75,1313.5,1337.0999755859375,10961755
2021-03-19,1330.0,1355.199951171875,1318.0,1344.449951171875,12767112
2021-03-22,1350.0999755859375,1376.0,1336.0999755859375,1370.800048828125,4862758
2021-03-23,1372.449951171875,1383.25,1359.5999755859375,1371.550048828125,7165335
2021-03-24,1357.8499755859375,1370.449951171875,1346.25,1353.75,6134303
2021-03-25,1346.75,1352.5,1327.5999755859375,1333.800048828125,8749994
2021-03-26,1344.699951171875,1356.699951171875,1332.0,1336.199951171875,4922071
2021-03-30,1346.9000244140625,1400.0,1336.1500244140625,1385.300048828125,10546381
2021-03-31,1382.0,1388.0,1363.300048828125,1368.050048828125,8220987
2021-04-01,1380.0,1391.5999755859375,1371.0,1385.199951171875,5675155
2021-04-05,1391.0,1425.0,1387.0,1409.9000244140625,9479572
2021-04-06,1423.0,1426.0,1406.449951171875,1411.050048828125,5793571
2021-04-07,1410.25,1434.949951171875,1406.5999755859375,1430.199951171875,5879234
2021-04-08,1430.0,1451.699951171875,1421.0,1439.8499755859375,5654434
